label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C7,35.6496242,139.5026586,13.836475965766628,-10.206360910085486,-0.6179903438289387,0,0,0.997409653263738,-0.0552436510319199,0,0,0,0,1
C7-C0_1,35.6496249,139.5026538,13.288380322192031,-10.265929597337468,-0.5762947374317434,0,0,0.9992907333238216,0.0063933856144897,0,0,0,0,1
C7-C0_2,35.6496319,139.5026208,10.360259985229009,-10.132352617539883,-0.4205019930160548,0,0,0.9988108082630734,-0.0085769893049138,0,0,0,0,1
C7-C0_3,35.6496321,139.5026054,8.749374742218354,-10.385105750290585,-0.301831174028932,0,0,0.998688662468892,0.0017365625400154,0,0,0,0,1
C7-C0_4,35.649639,139.50256869999998,5.2587256027235405,-10.331562162941188,-0.0813967109234308,0,0,0.9988522591174612,-0.0043119375283482,0,0,0,0,1
C7-C0_5,35.649640999999995,139.5025385,2.6494724365410485,-10.656399716109968,0.0786551156751851,0,0,0.9990657856300408,0.0023097358810812,0,0,0,0,1
C7-C0_6,35.6496456,139.5025184,0.7782182189476073,-10.592997641933223,0.2171770919548137,0,0,0.9992623181445734,-0.007679441486906,0,0,0,0,1
C7-C0_7,35.6496471,139.5024977,-1.1232384167557574,-10.781108408961927,0.2928064701130821,0,0,0.9990985427239372,0.0032225339843176,0,0,0,0,1
C7-C0_8,35.6496543,139.5024853,-2.3616609817573844,-10.163499072929724,0.3186975740827499,0,0,0.8614118147254701,0.507238292345813,0,0,0,0,1
C7-C0_9,35.64969,139.5024851,-3.1783398643508924,-6.19899522246803,0.2400703457277578,0,0,0.7074643831833521,0.7063785783218418,0,0,0,0,1
C7-C0_10,35.6497262,139.5024939,-3.1930113341325166,-2.1401541165018925,0.1497342893992955,0,0,0.6546007469478087,0.7557112967035783,0,0,0,0,1
C7-C0_11,35.6497409,139.50251029999998,-2.009819847855156,-0.1231534416071302,0.1060191189963509,0,0,0.1688282703136366,0.9855339583376452,0,0,0,0,1
C0,35.6497388,139.5025327,0.0386635019008003,0.2043895592489757,-0.0027523202716096,0,0,0.002985220302818,0.9999949724384324,0,0,0,0,1
